County ,Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,People Vaccinated with at least One Booster Dose,Population 6Mo+,"Population
5+","Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel"
Anderson,"17,870","63,537","27,858","24,767","10,572","57,373","54,637","50,661","48,045","8,658","2,051",833,"20,206","1,574"
Andrews,"6,100","21,366","9,414","8,364","3,139","18,660","17,266","14,863","13,503","1,833",309,106,"5,450",41
Angelina,"58,100","106,893","45,426","40,491","17,126","87,038","81,499","72,486","67,056","14,422","6,534","1,752","28,054","3,266"
Aransas,"6,840","39,698","16,346","14,314","6,778","23,673","22,639","20,834","19,803","6,791",370,252,"6,701",39
Archer,"3,200","10,750","4,584","4,232","1,717","8,524","7,996","7,388","6,921","1,677",80,13,"2,381",330
Armstrong,"2,100","1,929",825,726,314,"1,800","1,723","1,584","1,499",470,32,86,466,0
Atascosa,"19,000","68,462","30,008","25,991","10,307","50,252","46,959","41,738","38,768","7,605","1,124",651,"15,239","1,557"
Austin,"8,700","38,998","17,143","15,033","6,420","30,009","28,313","25,335","23,704","5,933",667,396,"7,873","1,079"
Bailey,"24,135","7,002","3,273","2,724","1,021","6,954","6,414","5,603","5,089","1,036",114,74,"1,982",0
Bandera,"5,100","28,304","11,833","10,381","4,949","22,958","22,019","20,596","19,763","6,439",352,180,"6,555",20
Bastrop,"62,200","143,958","62,702","52,509","22,040","87,372","82,246","74,173","68,839","13,865","1,462",696,"29,356","2,746"
Baylor,"5,550","3,740","1,627","1,476",551,"3,517","3,302","2,992","2,793",844,137,97,908,0
Bee,"83,660","45,338","19,856","16,815","7,082","32,881","31,026","28,034","26,496","4,091",981,684,"11,359",989
Bell,"222,970","436,251","192,245","163,666","65,195","364,015","336,691","294,905","272,969","40,534","15,894","2,466","95,066","12,910"
Bexar,"1,502,800","3,672,834","1,581,437","1,331,579","597,600","1,994,742","1,864,646","1,661,614","1,552,823","247,843","100,704","17,248","614,646","61,232"
Blanco,"5,600","17,518","7,053","6,293","3,056","12,018","11,461","10,598","10,092","3,004",90,102,"3,388",303
Borden,0,477,225,201,63,640,613,569,543,174,9,0,163,0
Bosque,"11,100","23,090","9,651","8,639","4,011","18,692","17,664","16,110","15,224","4,741",624,407,"5,126",579
Bowie,"67,090","88,044","40,053","34,088","13,079","91,400","86,659","78,795","73,689","15,832","6,332","1,467","29,102","3,303"
Brazoria,"224,000","600,686","252,685","225,559","102,265","370,100","347,809","310,503","287,683","45,752","9,762","2,648","105,966","12,034"
Brazos,"176,390","319,868","138,981","120,832","49,764","230,506","218,080","198,148","186,843","21,693","7,514","1,414","59,619","6,083"
Brewster,"5,100","14,489","6,057","5,158","2,489","9,447","8,905","8,071","7,706","2,231",303,0,"2,579",255
Briscoe,"1,200","1,834",712,639,346,"1,539","1,470","1,352","1,272",404,19,0,452,0
Brooks,"3,400","43,173","33,443","7,322","2,157","6,939","6,460","5,714","5,317","1,308",323,246,"2,253",22
Brown,"14,800","38,372","18,015","16,125","6,164","38,078","36,099","32,897","30,883","7,720","1,663",911,"11,188","1,112"
Burleson,"4,700","23,426","9,963","9,026","3,958","18,421","17,438","15,888","14,869","3,867",143,218,"5,600",518
Burnet,"38,215","71,442","29,403","26,192","12,235","48,258","45,640","41,525","39,239","10,999","1,823",595,"13,132",94
Caldwell,"15,100","66,382","29,220","24,882","10,446","43,934","41,232","37,400","34,853","6,512","1,286",524,"14,114","1,294"
Calhoun,"7,300","30,215","13,186","11,532","4,977","21,525","20,138","17,988","16,817","3,981",470,384,"6,161",53
Callahan,"3,500","13,876","5,953","5,346","2,263","13,604","12,938","11,949","11,263","2,958",146,122,"4,094",442
Cameron,"377,955","990,414","455,055","353,227","154,000","419,461","389,474","339,698","311,689","58,607","29,737","6,315","127,806","17,059"
Camp,"1,800","15,159","6,602","5,695","2,348","12,806","12,036","10,774","10,031","2,494",207,152,"3,927",0
Carson,"1,800","5,550","2,390","2,098",871,"5,873","5,596","5,073","4,718","1,250",60,0,"1,547",240
Cass,"5,100","27,338","12,154","10,599","4,431","30,019","28,402","25,670","24,182","6,856","1,216",550,"9,010","1,125"
Castro,"3,100","8,623","3,902","3,275","1,323","7,357","6,853","6,026","5,607","1,236",121,174,"2,168",341
Chambers,"37,400","56,267","24,975","22,120","8,333","42,878","40,048","35,653","33,062","5,259",958,244,"12,484","1,539"
Cherokee,"18,070","56,089","24,549","21,780","9,006","52,499","49,273","44,073","40,876","9,444","1,500",738,"16,376","1,511"
Childress,"5,000","8,869","4,023","3,711","1,635","7,330","6,988","6,419","6,094","1,165",251,136,"2,395",0
Clay,"14,645","11,444","4,908","4,500","1,850","10,427","9,986","9,145","8,666","2,484",136,60,"3,011",384
Cochran,"1,400","2,671","1,283","1,114",371,"2,903","2,701","2,361","2,188",468,57,0,956,0
Coke,0,"3,452","1,464","1,306",621,"3,289","3,118","2,889","2,756",947,47,130,899,0
Coleman,"3,700","8,067","3,518","3,131","1,391","8,309","7,888","7,133","6,721","2,119",342,162,"2,379",289
Collin,"763,700","1,968,944","814,853","717,169","338,678","1,022,185","962,905","865,275","801,716","116,575","38,139","7,817","236,374","34,589"
Collingsworth,"2,200","2,588","1,133",975,482,"2,919","2,762","2,432","2,263",555,80,92,847,0
Colorado,"12,600","30,498","12,874","11,457","5,337","21,573","20,298","18,273","17,107","4,850",853,477,"5,957",613
Comal,"94,530","266,790","111,679","97,998","44,911","155,009","146,783","133,278","125,307","28,528","5,457","1,845","38,712","4,242"
Comanche,"6,890","16,182","6,927","6,262","2,766","13,688","12,904","11,640","10,944","3,330",330,292,"3,738",455
Concho,"2,000","3,590","1,647","1,396",620,"2,614","2,529","2,382","2,288",689,76,66,815,0
Cooke,"18,500","42,680","19,038","16,017","6,563","40,413","38,180","34,774","32,675","7,804",948,552,"11,640","1,051"
Coryell,"38,595","87,939","38,087","33,065","13,938","76,777","72,152","64,702","60,428","8,040","1,178",610,"22,789","2,014"
Cottle,0,"1,321",592,522,216,"1,350","1,285","1,181","1,123",339,5,0,446,0
Crane,"3,550","4,665","2,278","1,764",559,"4,719","4,406","3,834","3,554",594,71,110,"1,353",0
