County,Population,Area,Density
Anderson,57814,1062.6034,54.4079
Andrews,19374,1500.6904,12.9101
Angelina,86319,797.7798,108.199
Aransas,23964,252.0843,95.0634
Archer,8462,903.1144,9.3698
Armstrong,1838,909.1091,2.0218
Atascosa,49795,1219.5397,40.831
Austin,30517,646.4898,47.2042
Bailey,6852,826.8635,8.2867
Bandera,20925,790.988,26.4543
Bastrop,101824,888.1675,114.645
Baylor,3413,867.481,3.9344
Bee,30885,880.2394,35.087
Bell,382729,1051.0282,364.1472
Bexar,2068234,1239.8759,1668.0975
Blanco,11550,709.2497,16.2848
Borden,629,897.4428,0.7009
Bosque,18239,982.9792,18.5548
Bowie,92959,885.0055,105.0378
Brazoria,383803,1357.8121,282.6628
Brazos,241649,585.5502,412.687
Brewster,9608,6183.7533,1.5537
Briscoe,1395,900.0007,1.55
Brooks,7046,943.3533,7.4691
Brown,38093,944.4375,40.3341
Burleson,17734,659.0319,26.9092
Burnet,50406,994.258,50.6971
Caldwell,47447,545.2311,87.0218
Calhoun,19850,506.8391,39.1643
Callahan,13740,899.3722,15.2773
Cameron,423977,891.062,475.8109
Camp,12476,195.8266,63.7094
Carson,5731,920.2204,6.2279
Cass,28052,936.9636,29.9393
Castro,7233,894.434,8.0867
Chambers,48867,597.1475,81.8341
Cherokee,50326,1052.974,47.7942
Childress,6588,696.4049,9.46
Clay,10112,1088.7235,9.2879
Cochran,2431,775.1444,3.1362
Coke,3277,911.4737,3.5953
Coleman,7442,1261.9458,5.8972
Collin,1120889,841.3029,1332.3252
Collingsworth,2572,918.4405,2.8004
Colorado,20493,960.2947,21.3403
Comal,172107,559.5112,307.6024
Comanche,13518,937.7536,14.4153
Concho,3147,983.8423,3.1987
Cooke,42314,874.8208,48.3688
Coryell,84633,1052.1811,80.4358
Cottle,1356,900.5635,1.5057
Crane,4735,785.0692,6.0313
Crockett,2974,2807.2849,1.0594
Crosby,4947,900.1991,5.4955
Culberson,2146,3812.7854,0.5628
Dallam,7197,1503.2574,4.7876
Dallas,2662619,873.0515,3049.7845
Dawson,12180,900.3059,13.5287
Deaf Smith,18425,1496.8666,12.309
Delta,5230,256.8252,20.364
Denton,955184,878.5092,1087.2784
DeWitt,19770,908.9764,21.7497
Dickens,1636,901.7242,1.8143
Dimmit,8339,1328.8847,6.2752
Donley,3174,926.8861,3.4244
Duval,9441,1793.4766,5.2641
Eastland,17553,926.4861,18.9458
Ector,170779,897.724,190.2355
Edwards,1306,2117.8587,0.6167
Ellis,201023,935.6553,214.8473
El Paso,878659,1012.8589,867.5039
Erath,43477,1083.0713,40.1423
Falls,16788,765.4834,21.9312
Fannin,36012,890.8323,40.4251
Fayette,24411,950.0082,25.6956
Fisher,3612,898.9411,4.0181
Floyd,5194,992.1425,5.2351
Foard,1047,704.3964,1.4864
Fort Bend,870259,861.8361,1009.7733
Franklin,10309,284.3914,36.2493
Freestone,19359,877.7388,22.0555
Frio,18619,1133.5008,16.4261
Gaines,22412,1502.3736,14.9177
